model,scheme,kind,msg_err_rate,bit_err_rate,avg_tokens,std_tokens,se_tokens,ppl_wm_mean,ppl_wm_std,ppl_wm_se,ppl_base_mean,ppl_base_std,ppl_base_se,ppl_delta,dist2_wm,dist3_wm,dist4_wm,dist2_base,dist3_base,dist4_base,sec_per_token,sec_per_token_se,decode_sec,base_sec_per_token,base_sec_per_token_se
unsloth/mistral-7b-v0.3,BAM-L32768,BAM,0.000000,0.000000,55.0220,38.6464,1.2221,6.4229,2.8403,0.0898,6.1639,2.7135,0.0858,0.2590,0.9585,0.9814,0.9898,0.9568,0.9812,0.9897,0.031671,0.000088,0.000000,0.021532,0.000021
unsloth/mistral-7b-v0.3,BAM-L131072,BAM,0.000000,0.000000,57.8680,39.1364,1.2376,6.3874,2.8045,0.0887,6.2135,2.6758,0.0846,0.1739,0.9553,0.9798,0.9886,0.9551,0.9800,0.9890,0.031855,0.000086,0.000000,0.021368,0.000022
unsloth/mistral-7b-v0.3,FL n=20,FL,0.562000,0.282625,20.0000,0.0000,0.0000,6.6977,4.0621,0.1285,6.6066,4.1436,0.1310,0.0911,0.9918,0.9979,0.9990,0.9908,0.9976,0.9988,0.028003,0.000048,0.004302,0.021688,0.000007
unsloth/mistral-7b-v0.3,FL n=30,FL,0.390000,0.190375,30.0000,0.0000,0.0000,6.3772,3.1317,0.0990,6.3867,3.0743,0.0972,-0.0095,0.9826,0.9946,0.9977,0.9817,0.9940,0.9972,0.027846,0.000036,0.006255,0.021339,0.000006
unsloth/mistral-7b-v0.3,FL n=40,FL,0.264000,0.134250,40.0000,0.0000,0.0000,6.2026,2.7987,0.0885,6.2161,2.9652,0.0938,-0.0135,0.9721,0.9898,0.9953,0.9731,0.9904,0.9955,0.027948,0.000033,0.008263,0.021236,0.000007
unsloth/mistral-7b-v0.3,FL n=50,FL,0.168000,0.083375,50.0000,0.0000,0.0000,6.1327,2.7803,0.0879,6.2461,2.7992,0.0885,-0.1134,0.9588,0.9824,0.9907,0.9622,0.9845,0.9918,0.027841,0.000028,0.010196,0.021157,0.000006
unsloth/mistral-7b-v0.3,FL n=60,FL,0.116000,0.054500,60.0000,0.0000,0.0000,5.9785,2.2877,0.0723,5.9499,2.3262,0.0736,0.0285,0.9555,0.9822,0.9910,0.9544,0.9808,0.9899,0.027758,0.000027,0.012187,0.021020,0.000007
unsloth/mistral-7b-v0.3,MPAC n=20,MPAC,0.940000,0.355125,20.0000,0.0000,0.0000,7.3544,4.3952,0.1390,6.5905,3.8799,0.1227,0.7639,0.9903,0.9969,0.9985,0.9911,0.9977,0.9989,0.021781,0.000009,0.009774,0.021779,0.000008
unsloth/mistral-7b-v0.3,MPAC n=30,MPAC,0.933000,0.324875,30.0000,0.0000,0.0000,7.0647,3.4448,0.1089,6.2966,3.3014,0.1044,0.7681,0.9826,0.9938,0.9969,0.9810,0.9935,0.9970,0.021856,0.000007,0.014058,0.021596,0.000006
unsloth/mistral-7b-v0.3,MPAC n=40,MPAC,0.926000,0.309750,40.0000,0.0000,0.0000,6.7449,2.9587,0.0936,6.2542,2.8387,0.0898,0.4907,0.9711,0.9884,0.9944,0.9713,0.9891,0.9941,0.021571,0.000006,0.018216,0.021172,0.000006
unsloth/mistral-7b-v0.3,MPAC n=50,MPAC,0.872000,0.280250,50.0000,0.0000,0.0000,6.7308,2.7034,0.0855,6.1714,2.7041,0.0855,0.5594,0.9594,0.9810,0.9891,0.9632,0.9858,0.9934,0.021580,0.000007,0.022444,0.021119,0.000007
unsloth/mistral-7b-v0.3,MPAC n=60,MPAC,0.845000,0.258625,60.0000,0.0000,0.0000,6.6476,2.6326,0.0832,6.0467,2.3871,0.0755,0.6009,0.9529,0.9798,0.9894,0.9515,0.9788,0.9883,0.021440,0.000006,0.026695,0.020919,0.000005
unsloth/mistral-7b-v0.3,BiMark n=20,BIMARK,0.967000,0.326375,20.0000,0.0000,0.0000,6.8938,4.5931,0.1452,6.5253,3.7344,0.1181,0.3685,0.9889,0.9961,0.9981,0.9911,0.9977,0.9993,0.033341,0.000008,0.004858,0.021696,0.000006
unsloth/mistral-7b-v0.3,BiMark n=30,BIMARK,0.863000,0.219250,30.0000,0.0000,0.0000,6.6699,3.7494,0.1186,6.4150,3.4093,0.1078,0.2549,0.9783,0.9919,0.9952,0.9832,0.9950,0.9980,0.033895,0.000009,0.005656,0.021426,0.000007
unsloth/mistral-7b-v0.3,BiMark n=40,BIMARK,0.758000,0.167000,40.0000,0.0000,0.0000,6.4134,2.8983,0.0917,6.1502,2.7189,0.0860,0.2632,0.9709,0.9875,0.9926,0.9713,0.9883,0.9933,0.034176,0.000010,0.006592,0.021351,0.000007
unsloth/mistral-7b-v0.3,BiMark n=50,BIMARK,0.674000,0.134375,50.0000,0.0000,0.0000,6.2606,2.6733,0.0845,6.0574,2.5634,0.0811,0.2033,0.9581,0.9797,0.9877,0.9616,0.9837,0.9916,0.034241,0.000009,0.007166,0.021166,0.000007
unsloth/mistral-7b-v0.3,BiMark n=60,BIMARK,0.553000,0.104875,60.0000,0.0000,0.0000,6.0919,2.4495,0.0775,6.0522,2.4269,0.0767,0.0397,0.9480,0.9752,0.9852,0.9527,0.9796,0.9892,0.034500,0.000012,0.008029,0.021214,0.000008
unsloth/mistral-7b-v0.3,StealthInk n=20,STEALTHINK,0.926000,0.271562,20.0000,0.0000,0.0000,6.5454,3.7921,0.1199,6.6391,3.9303,0.1243,-0.0937,0.9906,0.9976,0.9989,0.9904,0.9979,0.9995,0.022019,0.000007,0.007312,0.022043,0.000005
unsloth/mistral-7b-v0.3,StealthInk n=30,STEALTHINK,0.863000,0.222688,30.0000,0.0000,0.0000,6.3113,3.2421,0.1025,6.3165,3.0595,0.0968,-0.0052,0.9847,0.9955,0.9982,0.9831,0.9946,0.9977,0.021706,0.000008,0.011205,0.021449,0.000007
unsloth/mistral-7b-v0.3,StealthInk n=40,STEALTHINK,0.795000,0.184188,40.0000,0.0000,0.0000,6.1771,2.9971,0.0948,6.1482,2.7971,0.0885,0.0289,0.9742,0.9912,0.9959,0.9710,0.9893,0.9948,0.021873,0.000006,0.015093,0.021461,0.000006
unsloth/mistral-7b-v0.3,StealthInk n=50,STEALTHINK,0.702000,0.143687,50.0000,0.0000,0.0000,6.1564,2.5430,0.0804,6.0974,2.5031,0.0792,0.0590,0.9629,0.9859,0.9936,0.9653,0.9870,0.9938,0.021736,0.000008,0.018879,0.021242,0.000007
unsloth/mistral-7b-v0.3,StealthInk n=60,STEALTHINK,0.670000,0.130875,60.0000,0.0000,0.0000,6.0327,2.4355,0.0770,5.9764,2.3590,0.0746,0.0563,0.9536,0.9807,0.9900,0.9541,0.9812,0.9905,0.021882,0.000021,0.022529,0.020972,0.000004
