model,scheme,kind,msg_err_rate,bit_err_rate,avg_tokens,std_tokens,se_tokens,ppl_wm_mean,ppl_wm_std,ppl_wm_se,ppl_base_mean,ppl_base_std,ppl_base_se,ppl_delta,dist2_wm,dist3_wm,dist4_wm,dist2_base,dist3_base,dist4_base,sec_per_token,sec_per_token_se,decode_sec,base_sec_per_token,base_sec_per_token_se
unsloth/Qwen3.5-9B-Base,BAM-L131072,BAM,0.001000,0.000875,48.8500,49.8284,1.5757,8.1816,3.7969,0.1201,8.1168,3.7710,0.1193,0.0648,0.9669,0.9867,0.9922,0.9660,0.9864,0.9920,0.053328,0.000088,0.000000,0.043252,0.000053
unsloth/Qwen3.5-9B-Base,FL n=20,FL,0.418000,0.212375,20.0000,0.0000,0.0000,8.6061,4.9323,0.1560,8.7071,4.9804,0.1575,-0.1010,0.9912,0.9978,0.9989,0.9921,0.9985,0.9997,0.055335,0.000069,0.031807,0.046801,0.000005
unsloth/Qwen3.5-9B-Base,FL n=30,FL,0.247000,0.124000,30.0000,0.0000,0.0000,8.2879,4.0407,0.1278,8.4364,4.2498,0.1344,-0.1485,0.9829,0.9953,0.9979,0.9824,0.9950,0.9979,0.053812,0.000054,0.047595,0.044235,0.000011
unsloth/Qwen3.5-9B-Base,FL n=40,FL,0.144000,0.071250,40.0000,0.0000,0.0000,8.1083,3.5828,0.1133,8.1735,3.6423,0.1152,-0.0652,0.9720,0.9901,0.9949,0.9726,0.9915,0.9962,0.051977,0.000050,0.062904,0.042917,0.000011
unsloth/Qwen3.5-9B-Base,FL n=50,FL,0.105000,0.055250,50.0000,0.0000,0.0000,7.7622,3.3239,0.1051,7.8294,3.2259,0.1020,-0.0671,0.9634,0.9866,0.9932,0.9660,0.9887,0.9942,0.051019,0.000043,0.077881,0.042008,0.000009
unsloth/Qwen3.5-9B-Base,FL n=60,FL,0.072000,0.037000,60.0000,0.0000,0.0000,7.8941,3.2948,0.1042,7.8409,3.1629,0.1000,0.0532,0.9575,0.9840,0.9911,0.9582,0.9850,0.9926,0.050552,0.000037,0.093596,0.041579,0.000011
unsloth/Qwen3.5-9B-Base,MPAC n=20,MPAC,0.936000,0.339500,20.0000,0.0000,0.0000,9.6357,5.4874,0.1735,8.7870,5.0928,0.1610,0.8487,0.9921,0.9977,0.9989,0.9917,0.9982,0.9995,0.046928,0.000044,0.010872,0.047225,0.000010
unsloth/Qwen3.5-9B-Base,MPAC n=30,MPAC,0.919000,0.304125,30.0000,0.0000,0.0000,9.4718,4.6327,0.1465,8.3658,4.1523,0.1313,1.1060,0.9822,0.9949,0.9977,0.9837,0.9955,0.9979,0.044869,0.000045,0.015610,0.044446,0.000009
unsloth/Qwen3.5-9B-Base,MPAC n=40,MPAC,0.885000,0.277625,40.0000,0.0000,0.0000,9.1539,4.0055,0.1267,8.1648,3.8010,0.1202,0.9892,0.9727,0.9898,0.9944,0.9744,0.9918,0.9964,0.043206,0.000032,0.020299,0.042731,0.000008
unsloth/Qwen3.5-9B-Base,MPAC n=50,MPAC,0.840000,0.255375,50.0000,0.0000,0.0000,9.0320,3.8440,0.1216,7.9749,3.3847,0.1070,1.0571,0.9683,0.9894,0.9953,0.9657,0.9890,0.9948,0.041989,0.000014,0.024914,0.041849,0.000005
unsloth/Qwen3.5-9B-Base,MPAC n=60,MPAC,0.803000,0.232500,60.0000,0.0000,0.0000,8.6853,3.5267,0.1115,7.8481,3.2582,0.1030,0.8372,0.9560,0.9830,0.9910,0.9564,0.9836,0.9909,0.042410,0.000026,0.029845,0.041715,0.000011
unsloth/Qwen3.5-9B-Base,BiMark n=20,BIMARK,0.948000,0.292875,20.0000,0.0000,0.0000,9.7882,6.5058,0.2057,8.6197,4.9269,0.1558,1.1685,0.9905,0.9966,0.9984,0.9923,0.9983,0.9996,0.059200,0.000077,0.026441,0.046789,0.000008
unsloth/Qwen3.5-9B-Base,BiMark n=30,BIMARK,0.814000,0.194375,30.0000,0.0000,0.0000,8.7409,4.4888,0.1419,8.3582,4.0521,0.1281,0.3827,0.9793,0.9914,0.9953,0.9821,0.9952,0.9983,0.057594,0.000052,0.027955,0.044587,0.000008
unsloth/Qwen3.5-9B-Base,BiMark n=40,BIMARK,0.695000,0.142250,40.0000,0.0000,0.0000,8.3170,3.8473,0.1217,8.0060,3.7178,0.1176,0.3110,0.9659,0.9843,0.9905,0.9720,0.9909,0.9958,0.057107,0.000041,0.028060,0.042918,0.000010
unsloth/Qwen3.5-9B-Base,BiMark n=50,BIMARK,0.567000,0.103875,50.0000,0.0000,0.0000,8.2306,3.6798,0.1164,8.0235,3.6179,0.1144,0.2071,0.9573,0.9800,0.9873,0.9634,0.9866,0.9931,0.055774,0.000035,0.028823,0.042141,0.000010
unsloth/Qwen3.5-9B-Base,BiMark n=60,BIMARK,0.465000,0.088125,60.0000,0.0000,0.0000,7.8953,3.4209,0.1082,7.8818,3.2558,0.1030,0.0135,0.9502,0.9771,0.9855,0.9562,0.9834,0.9911,0.055626,0.000030,0.029919,0.041920,0.000011
unsloth/Qwen3.5-9B-Base,StealthInk n=20,STEALTHINK,0.896000,0.246562,20.0000,0.0000,0.0000,8.9984,5.1859,0.1640,8.7635,4.8654,0.1539,0.2350,0.9920,0.9981,0.9992,0.9892,0.9974,0.9991,0.048838,0.000063,0.041451,0.047143,0.000013
unsloth/Qwen3.5-9B-Base,StealthInk n=30,STEALTHINK,0.820000,0.197000,30.0000,0.0000,0.0000,8.1754,4.0536,0.1282,8.3075,4.0804,0.1290,-0.1321,0.9815,0.9946,0.9980,0.9814,0.9953,0.9985,0.047564,0.000064,0.068017,0.044439,0.000010
unsloth/Qwen3.5-9B-Base,StealthInk n=40,STEALTHINK,0.718000,0.155250,40.0000,0.0000,0.0000,8.0509,3.7498,0.1186,7.8381,3.5469,0.1122,0.2129,0.9723,0.9915,0.9959,0.9719,0.9911,0.9960,0.046315,0.000036,0.110087,0.043219,0.000010
unsloth/Qwen3.5-9B-Base,StealthInk n=50,STEALTHINK,0.659000,0.133750,50.0000,0.0000,0.0000,8.0410,3.5263,0.1115,7.7536,3.3432,0.1057,0.2873,0.9653,0.9885,0.9947,0.9637,0.9873,0.9936,0.045551,0.000027,0.141612,0.042751,0.000007
unsloth/Qwen3.5-9B-Base,StealthInk n=60,STEALTHINK,0.572000,0.108688,60.0000,0.0000,0.0000,7.8408,3.4114,0.1079,7.6681,3.2289,0.1021,0.1728,0.9565,0.9846,0.9922,0.9572,0.9849,0.9921,0.044430,0.000035,0.170875,0.041901,0.000018
